,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,Central African Republic,Chad,Comoros,Congo-Brazzaville,Côte d'Ivoire,Democratic Republic of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Réunion,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
0,426.0,71.0,75.0,19.0,73.0,92.0,120.0,8.0,63.0,38.0,7.0,17.0,103.0,260.0,1.0,34.0,7.0,4.0,338.0,14.0,13.0,228.0,92.0,19.0,118.0,12.0,20.0,52.0,57.0,38.0,157.0,17.0,7.0,200.0,131.0,19.0,49.0,315.0,48.0,10.0,78.0,35.0,48.0,303.0,52.0,88.0,156.0,33.0,82.0,134.0,56.0,44.0
1,400.0,80.0,81.0,16.0,82.0,94.0,125.0,10.0,74.0,45.0,10.0,32.0,107.0,292.0,2.0,21.0,7.0,5.0,394.0,14.0,14.0,220.0,96.0,20.0,124.0,11.0,26.0,58.0,68.0,43.0,185.0,19.0,4.0,204.0,140.0,23.0,71.0,312.0,42.0,6.0,86.0,39.0,53.0,329.0,73.0,98.0,163.0,37.0,81.0,139.0,55.0,43.0
2,19880.77377319336,40949.6330871582,20389.638153076172,48727.512145996094,26733.035400390625,21663.211547851562,29261.815643310547,16800.10206604004,14224.431640625,68703.89247131348,8918.10791015625,16824.839965820312,23139.40704345703,22470.580200195312,431331.224609375,130920.63772583008,13951.651672363281,78033.09257507324,34785.132080078125,19455.202758789062,18232.70330810547,19852.719482421875,16858.578094482422,19313.39764404297,20742.85513305664,19947.693786621094,17414.920150756836,15735.924407958984,14951.377319335938,16777.7333984375,11893.61264038086,12288.0,26062.371612548828,23211.653198242188,31224.61297607422,16158.162841796875,26957.669921875,47794.46502685547,21998.798889160156,47739.71305847168,22702.3681640625,13246.488098144531,18727.253982543945,17930.891052246094,30769.34063720703,47260.09359741211,16573.601623535156,38721.841796875,32559.2947845459,21074.700454711914,52955.20489501953,29509.240692138672
3,26643.3279876709,44901.230728149414,24658.51953125,61391.56742095947,30689.093048095703,28130.42349243164,32755.35464477539,17383.24624633789,14653.702713012695,88543.68920898438,12276.142395019531,14571.971267700195,27446.068298339844,30867.573120117188,261159.04600524902,84870.55152893066,20062.17074584961,58830.862548828125,43123.272579193115,20017.986740112305,24276.699783325195,21813.060302734375,20073.0390625,25215.805267333984,27902.4959564209,23261.88427734375,22134.5655670166,16102.36962890625,22192.720184326172,31870.884002685547,13980.564453125,18343.0,68325.76960754395,26240.49250793457,38357.25003051758,21779.450775146484,24747.498046875,61422.52061462402,32625.71792602539,144869.74829101562,30342.443481445312,15997.72738647461,31353.150024414062,20330.770782470703,38124.18249511719,54186.3073425293,27087.51138305664,42499.57632446289,32827.7116394043,31446.590728759766,65433.685150146484,33291.29931640625
4,0.646161280589105,0.6418535873123805,0.6740121709365186,0.454059354134857,0.6231134821641977,0.4756261610351564,0.7033207587266663,0.32472868924282317,0.6051595842504689,0.5533056682811719,0.6249226622251622,0.8207976263426942,0.731114580182529,0.681239501514159,0.0,0.7201382390744975,0.5510019538681936,0.5787046172496877,0.5314698321498226,0.6576730607866703,0.6719158482817407,0.6891544915272789,0.6674885904153578,0.5805428873093483,0.8038264260206538,0.5758674710694995,0.7099347209139502,0.7603661907719568,0.7038120349111037,0.6681539746736436,0.6108782955039849,0.7513354046935765,0.7095496145603752,0.74197354930903,0.6164537767519871,0.5425352153252829,0.6593490561942121,0.7026626905728202,0.5781518409704867,0.4335951422219211,0.721802178592436,0.6891147589184914,0.7246671692906175,0.7439240976012511,0.5173086924288541,0.7119835967750896,0.7007005088317007,0.6670700991678673,0.667473723180551,0.6361910676703033,0.5978686718894244,0.7292542624517613
5,0.5932433652474864,0.6391886300002698,0.7656929614932533,0.37256214947436495,0.7096343444811417,0.6059507251916665,0.7596564241659289,0.3705363067824494,0.6301501969528887,0.5920190723218985,0.6569156819867992,0.8133138836313132,0.7527781073162858,0.7177971746525658,0.47933316807822113,0.5497165728950557,0.601439732742455,0.6728804139569666,0.5894185526109808,0.6759271495406265,0.7554034945340744,0.7693698642317655,0.7208034177411298,0.6620824352860157,0.77773637727601,0.6029779634284425,0.7540948456124466,0.7855213088533382,0.7525133790080036,0.7938040806733635,0.7163680171482547,0.7758125037975581,0.5642333085104594,0.7674236727828139,0.6467600179470128,0.6003884414668075,0.7081071432822605,0.7090338390279676,0.72072270386265,0.2978914447104477,0.7493574073190639,0.760918334658931,0.690420164676329,0.7576315178390187,0.5552722293808299,0.6142054927563676,0.6462000146473104,0.7176990006048767,0.7108572229435075,0.6667919815019665,0.6417839141966177,0.7573492470831347
6,-1.006454262832788,-0.6522329333993787,-0.8418344289706264,-0.6202027235118525,-0.8339257735709321,-1.0916529543936746,-0.7726127160154371,-1.1377103140311347,-1.0250015189693191,-0.6491409780089572,-0.44163425088848357,-0.49422559307482433,-0.8751256198637818,-0.7976554835983187,,-0.4938419726462919,-0.5327069140553687,-0.43734769807808155,-0.9615909514238148,-0.6810916904940343,-0.6652879261104259,-0.8893312042238313,-0.924161062928965,-0.7923645906277119,-0.7209921555898431,-0.7302025459031725,-0.7426622427328545,-0.6853729457414532,-0.9552063308428147,-0.85555833933211,-1.1576880009061385,-0.6666656864283728,-0.4731107635595561,-0.788940494989237,-0.8557001617497244,-0.8892617922644954,-0.697792103843718,-0.7157936776401435,-0.9654598286173864,-0.682405323033019,-0.6697438231688775,-0.7558727435045245,-0.7573895974711065,-0.8389705726197763,-0.7867827950291478,-0.6211905060316715,-0.9278140303270912,-0.6775461314514977,-0.8438150310538244,-1.0026690891462822,-0.7284687686538965,-0.7656682797171079
7,0.009057089033107736,0.027774964820490824,0.017959875889498617,0.08831277927169089,0.0349392296738516,0.03898478780827704,0.017069689074448415,0.10964752931158624,0.04366460311845295,0.05148057484738857,0.0693358804929514,0.027631050415998087,0.020275952131394142,0.011636418854961195,,0.03269131196366226,0.07848914885150712,0.05830489643679004,0.022330118281020352,0.05366319982726575,0.04781903303849856,0.014903027898705273,0.02169043518743898,0.043018966761558836,0.00700674272461315,0.10110204011910062,0.06235197706640845,0.012048551366107314,0.04164927749536915,0.03583960608911733,0.015927122880549618,0.0473224193169957,0.06268130396507489,0.009683266421108517,0.02560793194879842,0.05865052871386408,0.02466681415035913,0.012820618727576834,0.022701648786103725,0.10383178879868112,0.019130602062607485,0.017370543541014423,0.01361121861943099,0.0060857853762615495,0.04550464490204233,0.026884990786837627,0.00913168727766132,0.038961579187775486,0.02466781372146011,0.022068973778853654,0.04172172584992143,0.03490993526684982
8,-0.9396766909612081,-0.6851464073293541,-0.7336308605533134,-0.9707267568202914,-0.8194480143175593,-0.9056192757418554,-0.7028584132571888,-1.0471992616148427,-1.0139398267970465,-0.5497184949609605,-0.5296843432526047,-0.6033353616064324,-0.8504956472769633,-0.7184444902902013,-0.17964898271712385,-0.5639910916951404,-0.4449488585361428,-0.35140416792842544,-0.8657766043562594,-0.6221788818923947,-0.6076527639546484,-0.8148783401905387,-0.8444955766965504,-0.6751825448988235,-0.6815511551267979,-0.6844613621842125,-0.7417328814806508,-0.6726088987592892,-0.9116442469143777,-0.7034486304532931,-0.9938395163386652,-0.6472279912591143,-0.43285681144875315,-0.7473776708997119,-0.7924828915765095,-0.7814534197065739,-0.6710310302305554,-0.6297514156652583,-0.727863484384069,-0.7265313183002787,-0.6611685556050435,-0.7098658774383695,-0.7210863364226782,-0.8010845741727408,-0.7698904928295104,-0.6167444374700999,-0.8974949578591717,-0.6324686669312203,-0.806126121492755,-0.906954865188559,-0.6999313984850245,-0.7039385353753241
9,0.012284062162305882,0.025515299175760755,0.01853953170836163,0.11464142990681016,0.03002409977939123,0.024272790403608413,0.015044167656076487,0.08034573437164827,0.03687266008199214,0.043805672783059364,0.05311176223522968,0.012100968636297286,0.01808480972387639,0.011399210219187743,0.0,0.060441465977790605,0.07065823955276701,0.04247799976099698,0.017721479545110698,0.030744072682447218,0.060677031633863704,0.013377027817791617,0.017527496288093476,0.037934300644466436,0.01034532405693519,0.07380728027871243,0.06140606322228279,0.008993979372209799,0.03902076267561301,0.02775211849983429,0.012273128723645124,0.04379647624823714,0.1351583966124135,0.009814167489285389,0.022248551568501022,0.04348611950869185,0.016995605919984412,0.012946850284691268,0.022772498478401192,0.22547065743955136,0.015891604538893263,0.013036950397134931,0.019912873825406893,0.006547011167497851,0.035341422744820924,0.028206861527965997,0.013718588390612178,0.03543929279749754,0.022592529280625766,0.023760398666330906,0.04128011953108416,0.03057382569997337
