country,osm_id,city,lat,lon
Egypt,5650937978,الرحمانية,31.1045549,30.6424526
Egypt,6091032462,طناح,31.0358207,31.5536475
Libya,260714409,غات,24.9626299,10.1797167
Libya,260715532,أوباري,26.5897046,12.7694188
Libya,260715664,مدينة جرمة,26.5284969,13.0696338
Libya,260715668,الغريفه,26.5258867,13.0099491
Libya,260716346,مرزق,25.9140852,13.9197199
Libya,260716549,سبها‎,27.0331541,14.4316929
Libya,276850140,غدامس,30.1258404,9.4900658
Libya,277399044,ترهونة,32.437106,13.639685
Libya,277399357,الخمس,32.652183,14.26801
Libya,277399530,الزاوية,32.7626409,12.7264789
Libya,277399662,زوارة,32.932781,12.0806384
Libya,277399765,اجدابيا,30.7550035,20.2233257
Libya,277407893,الكفرة,24.1987692,23.2931913
Libya,277520853,طبرق,32.0774321,23.9600148
Libya,288491858,البيضاء,32.7609529,21.7577175
Libya,288493021,درنة,32.7593795,22.6383195
Libya,299616414,سرت,31.2059625,16.5836206
Libya,299616862,صبراتة‎,32.7906211,12.4826746
Libya,361358942,البريقة الجديدة,30.4829221,19.7250842
Libya,419488780,القطرون,24.888852,14.531484
Libya,506650392,امسلاته,32.579922,14.0417371
Libya,1159112554,المرج,32.4857156,20.833836
Libya,1160843625,جالو,29.0331149,21.5482209
Libya,1160881649,بني وليد,31.7569695,13.995051
Libya,1169743113,العجيلات,32.7580138,12.3775024
Libya,1170583242,زليتن,32.467562,14.56564
Libya,1170597942,هون,29.1245649,15.9402605
Libya,1181267424,الزهراء,32.6779494,12.872464
Libya,1193623176,ودان‎,29.1614728,16.1414058
Libya,1565508929,الأبيار,32.1896453,20.5945086
Libya,1565510610,غريان,32.1715873,13.0211451
Libya,1699640925,طرابلس,32.896672,13.1777923
Libya,3300366408,العزيزية,32.5330923,13.0176242
Libya,4212111529,رهيبت,31.8849699,11.898025
Libya,5431087789,مصراتة,32.3745318,15.0904886
Libya,5431095439,زليتن Zleten,32.4704922,14.565249
Libya,5431110298,الزاوية Al zawia,32.7598937,12.7262489
Libya,5431116754,سبها Sabha,27.0373386,14.4253234
Libya,5431132268,بنغازي,32.1288331,20.0817204
Morocco,25730724,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,33.5950627,-7.6187768
Morocco,26755661,Oujda ⵡⵊⴷⴰ وجدة‎,34.677874,-1.929306
Morocco,26756035,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8978116,-5.5319836
Morocco,26756132,El Jadida ⵊⴷⵉⴷⴰ الجديدة,33.2433309,-8.49884
Morocco,26756639,Tan-Tan ⵟⴰⵏⵟⴰⵏ طانطان,28.437553,-11.098664
Morocco,27565078,Agadir ⴰⴳⴰⴷⵉⵔ أگادیر,30.4211144,-9.5830626
Morocco,29337459,Safi ⴰⵙⴼⵉ آسفي,32.299424,-9.239533
Morocco,31380375,Nador ⵏⴰⴹⵓⵕ الناظور,35.1739922,-2.9281198
Morocco,34992118,Tinghir ⵜⵉⵏⵖⵉⵔ تينغير,31.52133,-5.531164
Morocco,63439019,Khémisset ⵅⴻⵎⵉⵙⵙⴻⵜ الخميسات,33.830287,-6.072605
Morocco,63443413,Taza ⵜⴰⵣⴰ تازة,34.230155,-4.010104
Morocco,245486763,Essaouira ⵚⵚⵡⵉⵕⴰ الصويرة,31.5118281,-9.7620903
Morocco,254485332,Taroudant ⵜⴰⵔⵓⴷⴰⵏⵜ تارودانت,30.470651,-8.877922
Morocco,256948195,Tiznit ⵜⵉⵣⵏⵉⵜ تزنيت,29.698624,-9.7312815
Morocco,288704798,Ouarzazate ⵡⴰⵔⵣⴰⵣⴰⵜ ورزازات,30.920193,-6.910923
Morocco,289035432,Fès ⴼⴰⵙ فاس,34.0346534,-5.0161926
Morocco,299120862,Rabat ⵔⴱⴰⵟ الرباط,34.022405,-6.834543
Morocco,309968105,Chichaoua ⵛⵉⵛⴰⵡⴰ شيشاوة,31.5469033,-8.7595462
Morocco,348237703,Dakhla ⴷⴰⵅⵍⴰ الداخلة,23.6940663,-15.9431274
Morocco,351111110,Guelmim ⴳⵍⵎⵉⵎ گلميم,28.9863852,-10.0574351
Morocco,391512701,Al Hoceima - ⵍⵃⵓⵙⵉⵎⴰ - الحسيمة,35.245114,-3.930186
Morocco,391562106,Berkane ⴱⴻⵔⴽⴰⵏ بركان,34.9266755,-2.3294087
Morocco,400915111,Bouarfa ⴱⵓⵄⴰⵔⴼⴰ بوعرفة,32.532903,-1.963231
