country,osm_id,town,lat,lon
South Sudan,2630666057,NA,6.1384013,31.7324431
South Sudan,2631072434,Doma,8.8827151,32.5722065
South Sudan,2655992285,Huntau,9.8306666,32.0401102
South Sudan,2656045842,Yomding,8.6342279,32.8350888
South Sudan,2767091425,Yangiri,5.1836858,27.954776
South Sudan,2767100800,Mopai,5.4701656,27.6579403
South Sudan,2767107603,Ringasi,4.9291592,28.1825165
South Sudan,2805708518,Lankien,8.5255253,32.0615139
South Sudan,2805744836,Barriak,8.540728,31.942769
South Sudan,2805745231,Khorfulus,9.3145614,31.5847456
South Sudan,2805745254,Dolieb,9.3652479,31.5977071
South Sudan,2953823844,Gadiang,7.1428253,31.7050412
South Sudan,3031001308,NA,9.4306728,24.6862673
South Sudan,3045967354,Rupkuai,8.3902359,30.080375
South Sudan,3166209471,Kiech Kuon,8.9528354,32.9282524
South Sudan,3257850000,Lol,6.5121122,29.627317
South Sudan,3257850001,Pachong,6.6945716,29.780415
South Sudan,3315897327,Nimni,9.3066169,30.0296974
South Sudan,3368480591,Riang,8.4982771,31.8863737
South Sudan,3368491995,Weenyal,8.2969022,31.9688002
South Sudan,3368597754,Motot,8.1647526,32.0489069
South Sudan,3377513891,Yuai,7.9071436,31.8879957
South Sudan,3377738680,Walgak,8.1595168,32.2397749
South Sudan,3377744694,Pulchol,8.1297627,31.9536718
South Sudan,3431844587,Bauw,8.8413888,29.7280417
South Sudan,3433135931,Ganyiel,7.4053338,30.4725141
South Sudan,3433407068,Mabior,7.1653966,31.4069728
South Sudan,3705053563,Yida,10.1026808,30.0929541
South Sudan,3783688199,Gendrassa,9.9838555,33.6140888
South Sudan,3783693869,Doro,9.9755724,33.7511143
South Sudan,3783693870,Yusuf Batil,9.9892861,33.5870645
South Sudan,3783737737,Kaya,10.0990889,33.5857996
South Sudan,3783853600,Makpandu,4.7523511,28.7018781
South Sudan,3783866571,Adjuong Thok,9.9681659,30.2709506
South Sudan,3783963716,Jamam Town,10.1460947,33.2243962
South Sudan,3849971357,Pariang,9.91919,29.9816434
South Sudan,3859555787,Adjuong Thok Refugee Camp,9.9604133,30.2753564
South Sudan,3974559451,Poktap,7.4566724,31.4117265
South Sudan,3974571069,NA,5.8807625,31.5731286
South Sudan,3974586386,NA,6.8792145,31.3696143
South Sudan,3974589633,NA,6.9262466,31.3722678
South Sudan,3990702540,El Seriha,11.9457062,32.1063138
South Sudan,3990814388,Wadakona,11.6082421,32.7233904
South Sudan,3990895968,NA,11.2950457,32.6199215
South Sudan,3993266266,K5,12.050639,32.8229197
South Sudan,4000127057,Geigar,11.9935192,32.7617496
South Sudan,4000242068,Girbanat,12.0399576,33.03241
South Sudan,4007306519,Torakit,11.0011669,32.6412059
South Sudan,4007321937,Mulbok,11.1534155,32.6808913
South Sudan,4007321951,Turaybah,11.1786667,32.675602
South Sudan,4009683999,Luri,4.8762055,31.4275678
South Sudan,4018187024,Omar,11.7300338,32.7749794
South Sudan,4021857868,Wau,9.661049,31.7450258
