Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F
123,Liberia,22015,Gross Fixed Capital Formation,6110,Value US$,millions,62.089032,XAM,58.751747,XAM,70.781497,XAM,87.212459,XAM,119.037356,XAM,164.428635,XAM,210.533935,XAM,238.992737,XAM,265.309479,XAM,303.560557,XAM,200.027639,XAM,183.197164,XAM,196.967553,XAM,186.767265,XAM,172.282857,XAM,129.033637,XAM,117.303307,XAM,122.811462,XAM,117.609315,XAM,98.738783,XAM,62.407209,XAM,48.027922,XAM,36.281688,XAM,25.926363,XAM,21.367478,XAM,21.786029,XAM,109.779724,XAM,186.178887,XAM,227.268872,XAM,273.976668,XAM,48.370766,XAM,166.491316,XAM,179.249268,XAM,125.906937,XAM,137.003813,XAM,137.394334,XAM,158.636252,XAM,269,XAM,192,XAM,208,XAM,242,XAM,569,XAM,738,XAM,1107,XAM,466,XAM,1089.258002,XAM,1109.078599,XAM
123,Liberia,22015,Gross Fixed Capital Formation,6114,"Value Local Currency, 2005 prices",millions,134.271574,XAM,125.952393,XAM,131.276669,XAM,118.964282,XAM,140.846763,XAM,156.303436,XAM,205.278512,XAM,187.216782,XAM,217.609117,XAM,231.502756,XAM,165.334301,XAM,159.082164,XAM,171.659929,XAM,166.522532,XAM,135.255269,XAM,100.710702,XAM,86.715723,XAM,86.007116,XAM,73.695078,XAM,69.177711,XAM,43.796613,XAM,31.934737,XAM,24.383681,XAM,16.272745,XAM,12.730961,XAM,12.186888,XAM,74.045108,XAM,152.733907,XAM,198.104888,XAM,243.469544,XAM,40.580788,XAM,23.426399,XAM,77.759248,XAM,30.416411,XAM,34.999943,XAM,80.864,XAM,168.371553,XAM,206.595294,XAM,302.032158,XAM,185.712785,XAM,289.691128,XAM,292.452726,XAM,319.246682,XAM,264.338871,XAM,266.678915,XAM,273.974339,XAM,,
123,Liberia,22015,Gross Fixed Capital Formation,6166,"Value Local Currency, 2010 prices",millions,200.345611,XAM,187.932624,XAM,195.876936,XAM,177.505715,XAM,210.156401,XAM,233.219187,XAM,306.294533,XAM,279.344761,XAM,324.692935,XAM,345.42353,XAM,246.694074,XAM,237.365307,XAM,256.132496,XAM,248.467024,XAM,201.813376,XAM,150.269685,XAM,129.387882,XAM,128.330575,XAM,109.959875,XAM,103.219546,XAM,65.348596,XAM,47.649581,XAM,36.382707,XAM,24.280441,XAM,18.995771,XAM,18.183964,XAM,86.880432,XAM,179.205361,XAM,233.34686,XAM,284.076205,XAM,61.611238,XAM,220.696129,XAM,229.000401,XAM,145.838787,XAM,133.803629,XAM,128.807415,XAM,146.196445,XAM,292.889906,XAM,194.78609,XAM,216.842369,XAM,242,XAM,517.184744,XAM,662.204622,XAM,930.591094,XAM,388.623744,XAM,763.748411,XAM,749.082866,XAM
123,Liberia,22015,Gross Fixed Capital Formation,6108,"Value US$, 2005 prices",millions,134.271574,XAM,125.952393,XAM,131.276669,XAM,118.964282,XAM,140.846763,XAM,156.303436,XAM,205.278512,XAM,187.216782,XAM,217.609117,XAM,231.502756,XAM,165.334301,XAM,159.082164,XAM,171.659929,XAM,166.522532,XAM,135.255269,XAM,100.710702,XAM,86.715723,XAM,86.007116,XAM,73.695078,XAM,69.177711,XAM,43.796613,XAM,31.934737,XAM,24.383681,XAM,16.272745,XAM,12.730961,XAM,12.186888,XAM,74.045108,XAM,152.733907,XAM,198.104888,XAM,243.469544,XAM,40.580788,XAM,23.426399,XAM,77.759248,XAM,30.416411,XAM,34.999943,XAM,80.864,XAM,168.371553,XAM,206.595294,XAM,302.032158,XAM,185.712785,XAM,289.691128,XAM,292.452726,XAM,319.246682,XAM,264.338871,XAM,266.678915,XAM,273.974339,XAM,,
123,Liberia,22015,Gross Fixed Capital Formation,6167,"Value US$, 2010 prices",millions,200.345611,XAM,187.932624,XAM,195.876936,XAM,177.505715,XAM,210.156401,XAM,233.219187,XAM,306.294533,XAM,279.344761,XAM,324.692935,XAM,345.42353,XAM,246.694074,XAM,237.365307,XAM,256.132496,XAM,248.467024,XAM,201.813376,XAM,150.269685,XAM,129.387882,XAM,128.330575,XAM,109.959875,XAM,103.219546,XAM,65.348596,XAM,47.649581,XAM,36.382707,XAM,24.280441,XAM,18.995771,XAM,18.183964,XAM,86.880432,XAM,179.205361,XAM,233.34686,XAM,284.076205,XAM,61.611238,XAM,220.696129,XAM,229.000401,XAM,145.838787,XAM,133.803629,XAM,128.807415,XAM,146.196445,XAM,292.889906,XAM,194.78609,XAM,216.842369,XAM,242,XAM,517.184744,XAM,662.204622,XAM,930.591094,XAM,388.623744,XAM,763.748411,XAM,749.082866,XAM
123,Liberia,22015,Gross Fixed Capital Formation,6103,Share of GDP in US$,%,19.617459,Fc,17.604651,Fc,19.570816,Fc,20.622287,Fc,23.008675,Fc,26.44357,Fc,32.673738,Fc,33.17757,Fc,33.617681,Fc,33.389431,Fc,21.394283,Fc,17.034999,Fc,17.662124,Fc,16.866249,Fc,15.782097,Fc,11.987113,Fc,11.087543,Fc,11.050941,Fc,9.954243,Fc,8.10992,Fc,10.485,Fc,8.913158,Fc,10.484,Fc,10.438889,Fc,10.438518,Fc,10.43771,Fc,44.478575,Fc,44.475739,Fc,44.477056,Fc,44.476486,Fc,7.499991,Fc,26.103647,Fc,26.103646,Fc,23.798077,Fc,21.276596,Fc,19.454545,Fc,19.454549,Fc,28.345627,Fc,17.438692,Fc,18.008658,Fc,18.73065,Fc,36.996099,Fc,42.560554,Fc,57.179752,Fc,22.69849,Fc,40.812932,Fc,40.230391,Fc
123,Liberia,22015,Gross Fixed Capital Formation,6169,"Share of GDP, US$, 2010 prices",%,19.000828,Fc,16.965558,Fc,17.067505,Fc,14.891803,Fc,17.051771,Fc,19.686036,Fc,24.668652,Fc,22.28804,Fc,24.496534,Fc,24.873289,Fc,18.955719,Fc,18.97695,Fc,20.124231,Fc,20.217353,Fc,16.518493,Fc,12.553175,Fc,10.937757,Fc,10.657061,Fc,8.880388,Fc,8.10992,Fc,10.485,Fc,8.913158,Fc,10.484,Fc,10.438889,Fc,10.438518,Fc,10.43771,Fc,44.478575,Fc,44.475739,Fc,44.477056,Fc,44.476486,Fc,7.499992,Fc,26.103647,Fc,26.103646,Fc,23.798077,Fc,21.276596,Fc,19.454545,Fc,19.454549,Fc,28.345627,Fc,17.438692,Fc,18.008658,Fc,18.73065,Fc,36.996099,Fc,42.560554,Fc,57.179752,Fc,22.69849,Fc,40.812932,Fc,40.230391,Fc
123,Liberia,22015,Gross Fixed Capital Formation,6157,Share of GDP in Local Currency,%,19.617459,Fc,17.604651,Fc,19.570816,Fc,20.622287,Fc,23.008675,Fc,26.44357,Fc,32.673738,Fc,33.17757,Fc,33.617681,Fc,33.389431,Fc,21.394283,Fc,17.034999,Fc,17.662124,Fc,16.866249,Fc,15.782097,Fc,11.987113,Fc,11.087543,Fc,11.050941,Fc,9.954243,Fc,8.10992,Fc,10.485,Fc,8.913158,Fc,10.484,Fc,10.438889,Fc,10.438518,Fc,10.43771,Fc,44.478575,Fc,44.475739,Fc,44.477056,Fc,44.476486,Fc,7.499991,Fc,26.103647,Fc,26.103646,Fc,23.798077,Fc,21.276596,Fc,19.454545,Fc,19.454549,Fc,28.345627,Fc,17.438692,Fc,18.008658,Fc,18.73065,Fc,36.996099,Fc,42.560554,Fc,57.179752,Fc,22.69849,Fc,40.812932,Fc,40.230391,Fc
123,Liberia,22015,Gross Fixed Capital Formation,6168,"Share of GDP, Local Currency, 2010 prices",%,19.000828,Fc,16.965558,Fc,17.067505,Fc,14.891803,Fc,17.051771,Fc,19.686036,Fc,24.668652,Fc,22.28804,Fc,24.496534,Fc,24.873289,Fc,18.955719,Fc,18.97695,Fc,20.124231,Fc,20.217353,Fc,16.518493,Fc,12.553175,Fc,10.937757,Fc,10.657061,Fc,8.880388,Fc,8.10992,Fc,10.485,Fc,8.913158,Fc,10.484,Fc,10.438889,Fc,10.438518,Fc,10.43771,Fc,44.478575,Fc,44.475739,Fc,44.477056,Fc,44.476486,Fc,7.499992,Fc,26.103647,Fc,26.103646,Fc,23.798077,Fc,21.276596,Fc,19.454545,Fc,19.454549,Fc,28.345627,Fc,17.438692,Fc,18.008658,Fc,18.73065,Fc,36.996099,Fc,42.560554,Fc,57.179752,Fc,22.69849,Fc,40.812932,Fc,40.230391,Fc
123,Liberia,22015,Gross Fixed Capital Formation,6155,Annual growth Local Currency,%,,,-5.374999,Fc,20.475561,Fc,23.21364,Fc,36.491228,Fc,38.131962,Fc,28.039702,Fc,13.517442,Fc,11.011524,Fc,14.417532,Fc,-34.106183,Fc,-8.414075,Fc,7.516704,Fc,-5.178664,Fc,-7.755325,Fc,-25.103612,Fc,-9.090909,Fc,4.695652,Fc,-4.235881,Fc,-16.0451,Fc,-36.795647,Fc,-23.041067,Fc,-24.457094,Fc,-28.541464,Fc,-17.583974,Fc,1.958823,Fc,403.899651,Fc,69.593145,Fc,22.070164,Fc,20.551779,Fc,-82.344932,Fc,244.198221,Fc,7.662833,Fc,-29.758744,Fc,8.813554,Fc,0.285044,Fc,15.460549,Fc,69.57032,Fc,-28.624535,Fc,8.333333,Fc,16.346154,Fc,135.123967,Fc,29.70123,Fc,50,Fc,-57.904246,Fc,133.746352,Fc,1.819642,Fc
