Country,City,Id,lat,lon
Libya,غات,260714409,24.9626299,10.1797167
Libya,أوباري,260715532,26.5897046,12.7694188
Libya,مدينة جرمة,260715664,26.5284969,13.0696338
Libya,الغريفه,260715668,26.5258867,13.0099491
Libya,مرزق,260716346,25.9140852,13.9197199
Libya,سبها‎,260716549,27.0331541,14.4316929
Libya,غدامس,276850140,30.1258404,9.4900658
Libya,ترهونة,277399044,32.437106,13.639685
Libya,الخمس,277399357,32.652183,14.26801
Libya,الزاوية,277399530,32.7626409,12.7264789
Libya,زوارة,277399662,32.932781,12.0806384
Libya,اجدابيا,277399765,30.7550035,20.2233257
Libya,الكفرة,277407893,24.1987692,23.2931913
Libya,طبرق,277520853,32.0774321,23.9600148
Libya,البيضاء,288491858,32.7609529,21.7577175
Libya,درنة,288493021,32.7593795,22.6383195
Libya,سرت,299616414,31.2059625,16.5836206
Libya,صبراتة‎,299616862,32.7906211,12.4826746
Libya,البريقة الجديدة,361358942,30.4829221,19.7250842
Libya,القطرون,419488780,24.888852,14.531484
Libya,امسلاته,506650392,32.579922,14.0417371
Libya,المرج,1159112554,32.4857156,20.833836
Libya,جالو,1160843625,29.0331149,21.5482209
Libya,بني وليد,1160881649,31.7569695,13.995051
Libya,العجيلات,1169743113,32.7580138,12.3775024
Libya,زليتن,1170583242,32.467562,14.56564
Libya,هون,1170597942,29.1245649,15.9402605
Libya,الزهراء,1181267424,32.6779494,12.872464
Libya,ودان‎,1193623176,29.1614728,16.1414058
Libya,الأبيار,1565508929,32.1896453,20.5945086
Libya,غريان,1565510610,32.1715873,13.0211451
Libya,طرابلس,1699640925,32.896672,13.1777923
Libya,العزيزية,3300366408,32.5330923,13.0176242
Libya,رهيبت,4212111529,31.8849699,11.898025
Libya,مصراتة,5431087789,32.3745318,15.0904886
Libya,زليتن Zleten,5431095439,32.4704922,14.565249
Libya,الزاوية Al zawia,5431110298,32.7598937,12.7262489
Libya,سبها Sabha,5431116754,27.0373386,14.4253234
Libya,بنغازي,5431132268,32.1288331,20.0817204
Morocco,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,25730724,33.5950627,-7.6187768
Morocco,Oujda ⵡⵊⴷⴰ وجدة‎,26755661,34.677874,-1.929306
Morocco,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,26756035,33.8978116,-5.5319836
Morocco,El Jadida ⵊⴷⵉⴷⴰ الجديدة,26756132,33.2433309,-8.49884
Morocco,Tan-Tan ⵟⴰⵏⵟⴰⵏ طانطان,26756639,28.437553,-11.098664
Morocco,Agadir ⴰⴳⴰⴷⵉⵔ أگادیر,27565078,30.4211144,-9.5830626
Morocco,Safi ⴰⵙⴼⵉ آسفي,29337459,32.299424,-9.239533
Morocco,Nador ⵏⴰⴹⵓⵕ الناظور,31380375,35.1739922,-2.9281198
Morocco,Tinghir ⵜⵉⵏⵖⵉⵔ تينغير,34992118,31.52133,-5.531164
Morocco,Khémisset ⵅⴻⵎⵉⵙⵙⴻⵜ الخميسات,63439019,33.830287,-6.072605
Morocco,Taza ⵜⴰⵣⴰ تازة,63443413,34.230155,-4.010104
Morocco,Essaouira ⵚⵚⵡⵉⵕⴰ الصويرة,245486763,31.5118281,-9.7620903
Morocco,Taroudant ⵜⴰⵔⵓⴷⴰⵏⵜ تارودانت,254485332,30.470651,-8.877922
Morocco,Tiznit ⵜⵉⵣⵏⵉⵜ تزنيت,256948195,29.698624,-9.7312815
Morocco,Ouarzazate ⵡⴰⵔⵣⴰⵣⴰⵜ ورزازات,288704798,30.920193,-6.910923
Morocco,Fès ⴼⴰⵙ فاس,289035432,34.0346534,-5.0161926
Morocco,Rabat ⵔⴱⴰⵟ الرباط,299120862,34.022405,-6.834543
Morocco,Chichaoua ⵛⵉⵛⴰⵡⴰ شيشاوة,309968105,31.5469033,-8.7595462
Morocco,Dakhla ⴷⴰⵅⵍⴰ الداخلة,348237703,23.6940663,-15.9431274
Morocco,Guelmim ⴳⵍⵎⵉⵎ گلميم,351111110,28.9863852,-10.0574351
Morocco,Al Hoceima - ⵍⵃⵓⵙⵉⵎⴰ - الحسيمة,391512701,35.245114,-3.930186
Morocco,Berkane ⴱⴻⵔⴽⴰⵏ بركان,391562106,34.9266755,-2.3294087
Morocco,Bouarfa ⴱⵓⵄⴰⵔⴼⴰ بوعرفة,400915111,32.532903,-1.963231
Morocco,Figuig ⵉⴼⵉⵢⵢⵉⵢ فگيگ,401232144,32.115048,-1.230396
Morocco,Er Rachidia ⵉⵎⵜⵖⴻⵔⵏ الرشيدية,406192860,31.929089,-4.4340807
Morocco,Salé ⵙⵍⴰ سلا,414081770,34.044889,-6.814017
Morocco,Tétouan ⵜⵉⵟⵟⴰⵡⵉⵏ تطوان,421432226,35.570175,-5.3742776
Morocco,Marrakech ⵎⵕⵕⴰⴽⵛ مراكش,508040941,31.6258257,-7.9891608
Morocco,Esmara ⵙⵎⴰⵔⴰ السمارة,569755163,26.7435827,-11.6645492
Morocco,Larache ⵍⵄⵔⴰⵢⵛ العرائش,583022208,35.1952327,-6.152913
Morocco,Khénifra ⵅⵏⵉⴼⵕⴰ خنيفرة,624269194,32.9357718,-5.6696504
Morocco,Sebt Gzoula ⵙⴰⴱⵜ ⴳⴰⵣⵓⵍⴰ سبت گزولة,1039966988,32.108297,-9.084263
Morocco,Sidi Kacem ⵙⵉⴷⵉ ⵇⴰⵙⴰⵎ سيدي قاسم,1052247758,34.226412,-5.711434
Morocco,Ksar-el-Kebir ⵍⵇⵚⵔ ⵍⴽⴱⵉⵔ القصر الكبير,1052364362,34.999218,-5.898724
Morocco,Settat ⵥⵟⵟⴰⵟ سطات,1156264376,33.002397,-7.619867
Morocco,Ben Guerir ⴱⴰⵏⴳⵔⵉⵔ بن گرير,1210857280,32.239034,-7.958131
Morocco,Beni Mellal ⴰⵢⵜ ⵎⵍⵍⴰⵍ بني ملال,1274095863,32.334193,-6.353335
Morocco,Berrechid ⴱⴰⵔⵛⵉⴷ برشيد,1339097697,33.2676746,-7.5811465
Morocco,Assilah ⴰⵚⵉⵍⴰ أصيلة,1686960487,35.461928,-6.036545
Morocco,Kénitra ⵇⵏⵉⵟⵔⴰ القنيطرة,1863747049,34.26457,-6.570169
Morocco,Tanger ⵟⴰⵏⵊⴰ طنجة,1863747052,35.777103,-5.803792
Morocco,Sidi Slimane ⵙⵉⴷⵉ ⵙⵍⵉⵎⴰⵏ سيدي سليمان,1864970021,34.259878,-5.927253
Morocco,Khouribga ⵅⵯⵔⵉⴱⴳⴰ خريبكة,1865094126,32.885508,-6.909238
Morocco,Oued Zem ⵡⴰⴷ ⵣⴰⵎ واد زم,1865117987,32.862504,-6.571054
Morocco,Laâyoune ⵍⵄⵢⵓⵏ العيون,1888261495,27.154512,-13.1953921
Morocco,Témara ⵜⵎⴰⵔⴰ تمارة,1954988722,33.917166,-6.923804
Morocco,Boujdour ⴱⵓⵊⴷⵓⵔ بوجدور,2090045902,26.1263378,-14.4836537
Morocco,Mohammédia ⵎⵓⵃⴰⵎⴰⴷⵉⵢⴰ المحمدية,2622712708,33.6958383,-7.3893292
Morocco,Taourirt ⵜⴰⵡⵔⵉⵔⵜ تاوريرت,2684455807,34.413438,-2.893825
Tunisia,تونس,27564968,36.800108,10.184794
Tunisia,صفاقس,287001619,34.739739,10.7598516
Tunisia,سوسة,287543373,35.828829,10.640525
Tunisia,القيروان‎,287543904,35.6775263,10.1006205
Tunisia,قابس,287544603,33.8833922,10.0971389
Tunisia,بنزرت,287544816,37.2732415,9.8713665
Tunisia,بن عروس,287550909,36.756635,10.220146
Tunisia,المنستير,287553320,35.7709638,10.8272336
Tunisia,أريانة,287554239,36.859939,10.190973
Tunisia,المهدية,287621836,35.503884,11.056042
Tunisia,قرطاج,1136727225,36.851627,10.330441
