,osm_id,FID,country,osm_name,osm_type,lat,lon,clippoly,geometry,PopTot,aez_class,rain_zone
0,89369215,11918,Algeria,Tamanrasset,town,22.7854543,5.5324465,no,"POLYGON ((5.499583 22.81625, 5.541249 22.81625, 5.541249 22.807917, 5.549583 22.807917, 5.549583 22.799584, 5.566249 22.799584, 5.566249 22.782917, 5.557916 22.782917, 5.557916 22.774584, 5.549583 22.774584, 5.549583 22.76625, 5.541249 22.76625, 5.541249 22.757917, 5.524583 22.757917, 5.524583 22.76625, 5.507916 22.76625, 5.507916 22.782917, 5.499583 22.782917, 5.499583 22.81625))",31706.562438964844,Tropic - cool / arid,Arid
1,89980948,10871,Algeria,In Salah,town,27.1950331,2.4826132,no,"POLYGON ((2.474583 27.224584, 2.482916 27.224584, 2.482916 27.21625, 2.499583 27.21625, 2.499583 27.199584, 2.507916 27.199584, 2.507916 27.182917, 2.499583 27.182917, 2.499583 27.174584, 2.466249 27.174584, 2.466249 27.182917, 2.457916 27.182917, 2.457916 27.21625, 2.466249 27.21625, 2.474583 27.21625, 2.474583 27.224584))",23489.852142333984,Subtropic - warm / arid,Arid
2,252600742,242,Algeria,Boumerdès,town,36.758882,3.470596,no,"POLYGON ((2.999583 36.824584, 3.016249 36.824584, 3.016249 36.81625, 3.041249 36.81625, 3.041249 36.807917, 3.049583 36.807917, 3.049583 36.799584, 3.057916 36.799584, 3.057916 36.79125, 3.074583 36.79125, 3.074583 36.782917, 3.066249 36.782917, 3.066249 36.774584, 3.074583 36.774584, 3.074583 36.757917, 3.082916 36.757917, 3.082916 36.749584, 3.191249 36.749584, 3.191249 36.757917, 3.199583 36.757917, 3.207916 36.757917, 3.207916 36.76625, 3.216249 36.76625, 3.224583 36.76625, 3.224583 36.782917, 3.232916 36.782917, 3.232916 36.807917, 3.224583 36.807917, 3.224583 36.81625, 3.257916 36.81625, 3.257916 36.807917, 3.274583 36.807917, 3.274583 36.799584, 3.307916 36.799584, 3.307916 36.79125, 3.341249 36.79125, 3.341249 36.782917, 3.382916 36.782917, 3.382916 36.774584, 3.424583 36.774584, 3.424583 36.76625, 3.441249 36.76625, 3.441249 36.774584, 3.449583 36.774584, 3.449583 36.76625, 3.499583 36.76625, 3.499583 36.774584, 3.507916 36.774584, 3.507916 36.782917, 3.541249 36.782917, 3.549583 36.782917, 3.549583 36.79125, 3.557916 36.79125, 3.557916 36.807917, 3.591249 36.807917, 3.591249 36.799584, 3.616249 36.799584, 3.616249 36.757917, 3.607916 36.757917, 3.591249 36.757917, 3.591249 36.76625, 3.582916 36.76625, 3.582916 36.774584, 3.532916 36.774584, 3.532916 36.757917, 3.524583 36.757917, 3.516249 36.757917, 3.516249 36.74125, 3.532916 36.74125, 3.532916 36.749584, 3.566249 36.749584, 3.566249 36.74125, 3.574583 36.74125, 3.574583 36.732917, 3.582916 36.732917, 3.582916 36.724584, 3.591249 36.724584, 3.591249 36.71625, 3.599583 36.71625, 3.599583 36.732917, 3.607916 36.732917, 3.607916 36.749584, 3.616249 36.749584, 3.616249 36.74125, 3.632916 36.74125, 3.632916 36.732917, 3.649583 36.732917, 3.649583 36.74125, 3.657916 36.74125, 3.666249 36.74125, 3.666249 36.757917, 3.699583 36.757917, 3.707916 36.757917, 3.707916 36.76625, 3.732916 36.76625, 3.732916 36.757917, 3.757916 36.757917, 3.757916 36.732917, 3.749583 36.732917, 3.749583 36.724584, 3.741249 36.724584, 3.741249 36.71625, 3.732916 36.71625, 3.724583 36.71625, 3.724583 36.707917, 3.716249 36.707917, 3.716249 36.699584, 3.707916 36.699584, 3.682916 36.699584, 3.682916 36.69125, 3.657916 36.69125, 3.657916 36.707917, 3.649583 36.707917, 3.649583 36.71625, 3.624583 36.71625, 3.624583 36.707917, 3.616249 36.707917, 3.607916 36.707917, 3.607916 36.699584, 3.632916 36.699584, 3.632916 36.69125, 3.641249 36.69125, 3.641249 36.682917, 3.632916 36.682917, 3.632916 36.674584, 3.624583 36.674584, 3.616249 36.674584, 3.616249 36.66625, 3.607916 36.66625, 3.607916 36.649584, 3.599583 36.649584, 3.599583 36.632917, 3.582916 36.632917, 3.582916 36.64125, 3.574583 36.64125, 3.574583 36.649584, 3.566249 36.649584, 3.566249 36.66625, 3.574583 36.66625, 3.574583 36.682917, 3.566249 36.682917, 3.566249 36.699584, 3.541249 36.699584, 3.541249 36.707917, 3.532916 36.707917, 3.532916 36.71625, 3.524583 36.71625, 3.524583 36.69125, 3.499583 36.69125, 3.499583 36.707917, 3.466249 36.707917, 3.466249 36.71625, 3.457916 36.71625, 3.457916 36.707917, 3.449583 36.707917, 3.441249 36.707917, 3.441249 36.699584, 3.432916 36.699584, 3.432916 36.69125, 3.424583 36.69125, 3.416249 36.69125, 3.416249 36.66625, 3.424583 36.66625, 3.424583 36.649584, 3.416249 36.649584, 3.416249 36.64125, 3.407916 36.64125, 3.391249 36.64125, 3.391249 36.624584, 3.382916 36.624584, 3.374583 36.624584, 3.374583 36.61625, 3.357916 36.61625, 3.357916 36.624584, 3.332916 36.624584, 3.332916 36.61625, 3.307916 36.61625, 3.307916 36.624584, 3.299583 36.624584, 3.299583 36.649584, 3.291249 36.649584, 3.291249 36.657917, 3.274583 36.657917, 3.274583 36.632917, 3.266249 36.632917, 3.257916 36.632917, 3.257916 36.624584, 3.249583 36.624584, 3.249583 36.599584, 3.241249 36.599584, 3.241249 36.59125, 3.232916 36.59125, 3.224583 36.59125, 3.224583 36.582917, 3.207916 36.582917, 3.207916 36.59125, 3.199583 36.59125, 3.199583 36.582917, 3.191249 36.582917, 3.191249 36.574584, 3.199583 36.574584, 3.199583 36.56625, 3.191249 36.56625, 3.191249 36.549584, 3.182916 36.549584, 3.174583 36.549584, 3.174583 36.54125, 3.132916 36.54125, 3.132916 36.549584, 3.124583 36.549584, 3.124583 36.51625, 3.066249 36.51625, 3.066249 36.524584, 3.057916 36.524584, 3.057916 36.532917, 3.049583 36.532917, 3.049583 36.549584, 3.057916 36.549584, 3.057916 36.574584, 3.066249 36.574584, 3.066249 36.59125, 3.057916 36.59125, 3.057916 36.61625, 3.066249 36.61625, 3.066249 36.624584, 3.024583 36.624584, 3.024583 36.61625, 3.016249 36.61625, 3.016249 36.59125, 3.007916 36.59125, 3.007916 36.574584, 2.982916 36.574584, 2.982916 36.582917, 2.974583 36.582917, 2.974583 36.599584, 2.949583 36.599584, 2.949583 36.582917, 2.957916 36.582917, 2.957916 36.574584, 2.949583 36.574584, 2.949583 36.56625, 2.941249 36.56625, 2.941249 36.524584, 2.932916 36.524584, 2.932916 36.507917, 2.924583 36.507917, 2.924583 36.499584, 2.916249 36.499584, 2.916249 36.49125, 2.907916 36.49125, 2.907916 36.482917, 2.899583 36.482917, 2.882916 36.482917, 2.882916 36.474584, 2.874583 36.474584, 2.874583 36.46625, 2.866249 36.46625, 2.866249 36.457917, 2.857916 36.457917, 2.857916 36.449584, 2.849583 36.449584, 2.849583 36.44125, 2.791249 36.44125, 2.791249 36.449584, 2.782916 36.449584, 2.782916 36.44125, 2.774583 36.44125, 2.766249 36.44125, 2.766249 36.41625, 2.757916 36.41625, 2.741249 36.41625, 2.741249 36.424584, 2.732916 36.424584, 2.732916 36.432917, 2.716249 36.432917, 2.716249 36.424584, 2.707916 36.424584, 2.707916 36.41625, 2.682916 36.41625, 2.682916 36.424584, 2.674583 36.424584, 2.674583 36.449584, 2.666249 36.449584, 2.666249 36.44125, 2.582916 36.44125, 2.582916 36.449584, 2.549583 36.449584, 2.549583 36.457917, 2.532916 36.457917, 2.532916 36.46625, 2.516249 36.46625, 2.516249 36.457917, 2.491249 36.457917, 2.491249 36.482917, 2.482916 36.482917, 2.482916 36.474584, 2.466249 36.474584, 2.466249 36.482917, 2.457916 36.482917, 2.457916 36.507917, 2.466249 36.507917, 2.466249 36.51625, 2.482916 36.51625, 2.482916 36.507917, 2.499583 36.507917, 2.499583 36.499584, 2.516249 36.499584, 2.516249 36.482917, 2.549583 36.482917, 2.549583 36.49125, 2.582916 36.49125, 2.582916 36.474584, 2.591249 36.474584, 2.591249 36.457917, 2.599583 36.457917, 2.599583 36.482917, 2.607916 36.482917, 2.607916 36.499584, 2.599583 36.499584, 2.599583 36.507917, 2.632916 36.507917, 2.632916 36.499584, 2.624583 36.499584, 2.624583 36.49125, 2.657916 36.49125, 2.657916 36.482917, 2.682916 36.482917, 2.682916 36.49125, 2.707916 36.49125, 2.707916 36.482917, 2.766249 36.482917, 2.766249 36.49125, 2.774583 36.49125, 2.774583 36.507917, 2.782916 36.507917, 2.782916 36.524584, 2.791249 36.524584, 2.791249 36.532917, 2.766249 36.532917, 2.766249 36.524584, 2.757916 36.524584, 2.757916 36.54125, 2.766249 36.54125, 2.766249 36.56625, 2.774583 36.56625, 2.774583 36.574584, 2.782916 36.574584, 2.791249 36.574584, 2.791249 36.582917, 2.799583 36.582917, 2.799583 36.59125, 2.816249 36.59125, 2.816249 36.582917, 2.824583 36.582917, 2.824583 36.56625, 2.832916 36.56625, 2.832916 36.557917, 2.841249 36.557917, 2.841249 36.549584, 2.849583 36.549584, 2.849583 36.557917, 2.857916 36.557917, 2.857916 36.56625, 2.866249 36.56625, 2.866249 36.574584, 2.874583 36.574584, 2.874583 36.582917, 2.882916 36.582917, 2.882916 36.599584, 2.857916 36.599584, 2.857916 36.624584, 2.866249 36.624584, 2.866249 36.64125, 2.849583 36.64125, 2.849583 36.649584, 2.857916 36.649584, 2.857916 36.66625, 2.816249 36.66625, 2.816249 36.657917, 2.824583 36.657917, 2.824583 36.632917, 2.832916 36.632917, 2.832916 36.61625, 2.824583 36.61625, 2.824583 36.607917, 2.816249 36.607917, 2.766249 36.607917, 2.766249 36.599584, 2.757916 36.599584, 2.741249 36.599584, 2.741249 36.59125, 2.716249 36.59125, 2.716249 36.607917, 2.707916 36.607917, 2.707916 36.599584, 2.691249 36.599584, 2.691249 36.607917, 2.666249 36.607917, 2.666249 36.599584, 2.657916 36.599584, 2.632916 36.599584, 2.632916 36.59125, 2.641249 36.59125, 2.641249 36.582917, 2.666249 36.582917, 2.666249 36.59125, 2.691249 36.59125, 2.691249 36.574584, 2.724583 36.574584, 2.724583 36.56625, 2.732916 36.56625, 2.732916 36.549584, 2.682916 36.549584, 2.682916 36.557917, 2.624583 36.557917, 2.624583 36.59125, 2.616249 36.59125, 2.616249 36.582917, 2.582916 36.582917, 2.582916 36.59125, 2.574583 36.59125, 2.574583 36.599584, 2.582916 36.599584, 2.591249 36.599584, 2.591249 36.607917, 2.616249 36.607917, 2.624583 36.607917, 2.624583 36.61625, 2.632916 36.61625, 2.641249 36.61625, 2.641249 36.624584, 2.649583 36.624584, 2.649583 36.632917, 2.657916 36.632917, 2.666249 36.632917, 2.666249 36.64125, 2.674583 36.64125, 2.674583 36.649584, 2.682916 36.649584, 2.691249 36.649584, 2.691249 36.657917, 2.707916 36.657917, 2.716249 36.657917, 2.716249 36.66625, 2.724583 36.66625, 2.724583 36.674584, 2.749583 36.674584, 2.757916 36.674584, 2.757916 36.682917, 2.766249 36.682917, 2.774583 36.682917, 2.774583 36.69125, 2.782916 36.69125, 2.791249 36.69125, 2.791249 36.699584, 2.799583 36.699584, 2.807916 36.699584, 2.807916 36.707917, 2.816249 36.707917, 2.816249 36.71625, 2.824583 36.71625, 2.824583 36.724584, 2.832916 36.724584, 2.832916 36.732917, 2.841249 36.732917, 2.841249 36.757917, 2.832916 36.757917, 2.832916 36.76625, 2.866249 36.76625, 2.874583 36.76625, 2.874583 36.774584, 2.882916 36.774584, 2.882916 36.782917, 2.891249 36.782917, 2.891249 36.79125, 2.899583 36.79125, 2.899583 36.799584, 2.891249 36.799584, 2.891249 36.807917, 2.941249 36.807917, 2.949583 36.807917, 2.949583 36.81625, 2.991249 36.81625, 2.999583 36.81625, 2.999583 36.824584))",5632073.227600098,Subtropic - warm / subhumid,Arid
3,253291208,804,Algeria,Lakhdaria,town,36.5639442,3.596907,no,"POLYGON ((3.557916 36.599584, 3.582916 36.599584, 3.582916 36.59125, 3.607916 36.59125, 3.607916 36.582917, 3.616249 36.582917, 3.616249 36.574584, 3.624583 36.574584, 3.624583 36.56625, 3.632916 36.56625, 3.632916 36.574584, 3.641249 36.574584, 3.641249 36.56625, 3.657916 36.56625, 3.657916 36.549584, 3.674583 36.549584, 3.674583 36.532917, 3.657916 36.532917, 3.657916 36.54125, 3.566249 36.54125, 3.566249 36.549584, 3.557916 36.549584, 3.557916 36.56625, 3.549583 36.56625, 3.549583 36.582917, 3.557916 36.582917, 3.557916 36.599584))",68392.7546081543,Subtropic - warm / subhumid,Arid
4,253292622,350,Algeria,Draâ Ben Khedda,town,36.7333317,3.9587692,no,"POLYGON ((3.966249 36.774584, 3.982916 36.774584, 3.982916 36.76625, 3.999583 36.76625, 3.999583 36.757917, 4.041249 36.757917, 4.041249 36.749584, 4.049583 36.749584, 4.049583 36.76625, 4.066249 36.76625, 4.066249 36.757917, 4.091249 36.757917, 4.091249 36.749584, 4.099583 36.749584, 4.099583 36.74125, 4.116249 36.74125, 4.116249 36.76625, 4.132916 36.76625, 4.132916 36.757917, 4.149583 36.757917, 4.149583 36.749584, 4.157916 36.749584, 4.157916 36.74125, 4.166249 36.74125, 4.166249 36.732917, 4.174583 36.732917, 4.174583 36.71625, 4.182916 36.71625, 4.182916 36.724584, 4.199583 36.724584, 4.207916 36.724584, 4.207916 36.732917, 4.191249 36.732917, 4.191249 36.74125, 4.182916 36.74125, 4.182916 36.76625, 4.207916 36.76625, 4.207916 36.757917, 4.216249 36.757917, 4.216249 36.74125, 4.224583 36.74125, 4.224583 36.724584, 4.249583 36.724584, 4.249583 36.732917, 4.257916 36.732917, 4.257916 36.74125, 4.282916 36.74125, 4.282916 36.724584, 4.274583 36.724584, 4.257916 36.724584, 4.257916 36.707917, 4.249583 36.707917, 4.249583 36.699584, 4.241249 36.699584, 4.232916 36.699584, 4.232916 36.69125, 4.224583 36.69125, 4.224583 36.682917, 4.216249 36.682917, 4.216249 36.66625, 4.191249 36.66625, 4.191249 36.674584, 4.182916 36.674584, 4.182916 36.699584, 4.166249 36.699584, 4.166249 36.69125, 4.157916 36.69125, 4.157916 36.682917, 4.149583 36.682917, 4.107916 36.682917, 4.107916 36.674584, 4.099583 36.674584, 4.099583 36.682917, 4.082916 36.682917, 4.082916 36.66625, 4.091249 36.66625, 4.091249 36.649584, 4.082916 36.649584, 4.082916 36.632917, 4.099583 36.632917, 4.099583 36.607917, 4.091249 36.607917, 4.082916 36.607917, 4.082916 36.599584, 4.066249 36.599584, 4.066249 36.607917, 4.057916 36.607917, 4.057916 36.624584, 4.066249 36.624584, 4.066249 36.632917, 4.074583 36.632917, 4.074583 36.64125, 4.066249 36.64125, 4.066249 36.649584, 4.041249 36.649584, 4.041249 36.657917, 4.049583 36.657917, 4.057916 36.657917, 4.057916 36.66625, 4.024583 36.66625, 4.024583 36.674584, 4.016249 36.674584, 4.016249 36.682917, 4.007916 36.682917, 4.007916 36.69125, 3.991249 36.69125, 3.991249 36.699584, 3.982916 36.699584, 3.982916 36.707917, 3.966249 36.707917, 3.966249 36.699584, 3.957916 36.699584, 3.941249 36.699584, 3.941249 36.69125, 3.916249 36.69125, 3.916249 36.724584, 3.891249 36.724584, 3.891249 36.732917, 3.882916 36.732917, 3.882916 36.76625, 3.899583 36.76625, 3.899583 36.757917, 3.916249 36.757917, 3.916249 36.749584, 3.924583 36.749584, 3.924583 36.757917, 3.949583 36.757917, 3.957916 36.757917, 3.957916 36.76625, 3.966249 36.76625, 3.966249 36.774584))",496870.8187866211,Subtropic - warm / subhumid,Arid
5,258799889,8473,Algeria,El Menia,town,30.583668300000003,2.8830889,no,"POLYGON ((2.866249 30.61625, 2.899583 30.61625, 2.899583 30.607917, 2.907916 30.607917, 2.907916 30.574584, 2.916249 30.574584, 2.916249 30.557917, 2.924583 30.557917, 2.924583 30.54125, 2.916249 30.54125, 2.916249 30.532917, 2.907916 30.532917, 2.907916 30.54125, 2.899583 30.54125, 2.899583 30.549584, 2.882916 30.549584, 2.882916 30.557917, 2.857916 30.557917, 2.857916 30.607917, 2.866249 30.607917, 2.866249 30.61625))",44127.55618286133,Subtropic - warm / arid,Arid
6,262969007,3240,Algeria,Ben Srour,town,35.040443100000005,4.5633795,no,"POLYGON ((4.541249 35.057917, 4.574583 35.057917, 4.574583 35.049584, 4.582916 35.049584, 4.582916 35.04125, 4.591249 35.04125, 4.591249 35.024584, 4.541249 35.024584, 4.541249 35.057917))",18949.039489746094,Subtropic - warm / semiarid,Arid
7,264023963,2624,Algeria,Chahbounia,town,35.5415407,2.6037738,no,"POLYGON ((2.591249 35.557917, 2.624583 35.557917, 2.624583 35.549584, 2.632916 35.549584, 2.632916 35.54125, 2.624583 35.54125, 2.624583 35.532917, 2.616249 35.532917, 2.616249 35.524584, 2.591249 35.524584, 2.591249 35.532917, 2.582916 35.532917, 2.582916 35.549584, 2.591249 35.549584, 2.591249 35.557917))",24937.864379882812,Subtropic - warm / subhumid,Arid
8,264507153,3681,Algeria,Ouled Djellal,town,34.425410299999996,5.0644342,no,"POLYGON ((5.057916 34.46625, 5.074583 34.46625, 5.074583 34.457917, 5.091249 34.457917, 5.091249 34.449584, 5.099583 34.449584, 5.099583 34.424584, 5.091249 34.424584, 5.091249 34.41625, 5.082916 34.41625, 5.082916 34.407917, 5.074583 34.407917, 5.074583 34.399584, 5.057916 34.399584, 5.057916 34.407917, 5.032916 34.407917, 5.032916 34.39125, 5.024583 34.39125, 5.024583 34.382917, 5.016249 34.382917, 5.016249 34.36625, 4.991249 34.36625, 4.991249 34.374584, 4.966249 34.374584, 4.966249 34.382917, 4.957916 34.382917, 4.957916 34.41625, 5.016249 34.41625, 5.024583 34.41625, 5.024583 34.44125, 5.032916 34.44125, 5.032916 34.449584, 5.041249 34.449584, 5.049583 34.449584, 5.049583 34.457917, 5.057916 34.457917, 5.057916 34.46625))",158492.26489257812,Subtropic - warm / arid,Arid
9,264575953,9699,Algeria,Timimoun,town,29.2605117,0.2285923,no,"POLYGON ((0.232916 29.29125, 0.257916 29.29125, 0.257916 29.282917, 0.249583 29.282917, 0.249583 29.274584, 0.257916 29.274584, 0.257916 29.24125, 0.249583 29.24125, 0.216249 29.24125, 0.216249 29.232917, 0.199583 29.232917, 0.199583 29.257917, 0.207916 29.257917, 0.207916 29.274584, 0.216249 29.274584, 0.224583 29.274584, 0.224583 29.282917, 0.232916 29.282917, 0.232916 29.29125))",27781.273712158203,Subtropic - warm / arid,Arid
