,osm_id,FID,country,city,osm_type,lat,lon,geometry,PopTot,aez_class
11,217893617,2403,South Sudan,Maridi,town,4.9143633,29.4645282,"POLYGON ((29.442316 4.899322, 29.442316 4.890339, 29.42435 4.890339, 29.42435 4.899322, 29.433333 4.899322, 29.442316 4.899322, 29.442316 4.908305, 29.4513 4.908305, 29.4513 4.926272, 29.487232 4.926272, 29.496216 4.926272, 29.496216 4.935255, 29.505199 4.935255, 29.505199 4.926272, 29.496216 4.926272, 29.496216 4.899322, 29.487232 4.899322, 29.469266 4.899322, 29.469266 4.890339, 29.4513 4.890339, 29.4513 4.899322, 29.442316 4.899322))",50617.0,Tropic - warm / subhumid
12,225058040,2563,South Sudan,Boma,town,6.182483900000001,34.3922514,"POLYGON ((34.383074 6.201885, 34.392057 6.201885, 34.392057 6.192902, 34.401041 6.192902, 34.401041 6.174936, 34.383074 6.174936, 34.383074 6.201885))",8874.0,Tropic - warm / subhumid
13,228776238,2438,South Sudan,Jambo,town,5.065563099999999,30.7342413,"POLYGON ((30.735897 5.087969, 30.74488 5.087969, 30.74488 5.078986, 30.735897 5.078986, 30.735897 5.06102, 30.726913 5.06102, 30.726913 5.078986, 30.735897 5.078986, 30.735897 5.087969))",3632.0,Tropic - warm / subhumid
14,234617041,2897,South Sudan,Nyamliell,town,9.1350893,26.979401799999998,"POLYGON ((26.971937 9.139391, 26.980921 9.139391, 26.980921 9.121423999999999, 26.971937 9.121423999999999, 26.962954 9.121423999999999, 26.962954 9.130407, 26.971937 9.130407, 26.971937 9.139391))",3640.0,Tropic - warm / semiarid
15,234685791,3187,South Sudan,Malualkon,town,9.0177712,27.6266686,"POLYGON ((27.618728 9.031592, 27.636694 9.031592, 27.636694 9.022608999999999, 27.627711 9.022608999999999, 27.627711 9.013626, 27.618728 9.013626, 27.618728 9.031592))",16367.0,Tropic - warm / semiarid
16,234776477,3497,South Sudan,Akon,town,8.8844558,27.9578664,"POLYGON ((27.942123 8.887860999999999, 27.960089 8.887860999999999, 27.960089 8.869895, 27.969072 8.869895, 27.969072 8.860912000000001, 27.960089 8.860912000000001, 27.960089 8.833962, 27.951106 8.833962, 27.951106 8.860912000000001, 27.960089 8.860912000000001, 27.960089 8.869895, 27.951106 8.869895, 27.951106 8.878878, 27.942123 8.878878, 27.942123 8.887860999999999))",9293.0,Tropic - warm / subhumid
17,238717573,3462,South Sudan,Duk Padiet,town,7.749765299999999,31.3959666,"POLYGON ((31.400653 7.738012, 31.400653 7.729029, 31.409636 7.729029, 31.409636 7.720046, 31.418619 7.720046, 31.418619 7.711062, 31.409636 7.711062, 31.409636 7.720046, 31.39167 7.720046, 31.39167 7.755978, 31.382687 7.755978, 31.382687 7.764962, 31.39167 7.764962, 31.39167 7.755978, 31.400653 7.755978, 31.400653 7.746995, 31.409636 7.746995, 31.409636 7.738012, 31.400653 7.738012))",17963.0,Tropic - warm / subhumid
18,240475577,2272,South Sudan,Ikotos,town,4.077852,33.106516,"POLYGON ((33.089494 4.090834, 33.116444 4.090834, 33.116444 4.063885, 33.10746 4.063885, 33.10746 4.072868, 33.089494 4.072868, 33.089494 4.090834))",28481.0,Tropic - warm / subhumid
19,241501075,2476,South Sudan,Tambura,town,5.6097875,27.469481400000003,"POLYGON ((27.45703 5.617978, 27.48398 5.617978, 27.48398 5.591028, 27.474996 5.591028, 27.474996 5.582045, 27.466013 5.582045, 27.466013 5.591028, 27.45703 5.591028, 27.45703 5.617978))",72645.0,Tropic - warm / subhumid
20,241778447,3064,South Sudan,Pochalla,town,7.186683099999999,34.0980112,"POLYGON ((34.086629 7.172071, 34.086629 7.163087, 34.077646 7.163087, 34.077646 7.172071, 34.086629 7.172071, 34.086629 7.19902, 34.104595 7.19902, 34.104595 7.172071, 34.095612 7.172071, 34.086629 7.172071))",17360.0,Tropic - warm / subhumid
21,241785452,2292,South Sudan,Chukudum,town,4.232823000000001,33.49535,"POLYGON ((33.502721 4.243549, 33.502721 4.225582, 33.493738 4.225582, 33.493738 4.216599, 33.466788 4.216599, 33.466788 4.225582, 33.475771 4.225582, 33.475771 4.243549, 33.493738 4.243549, 33.502721 4.243549, 33.502721 4.252532, 33.511704 4.252532, 33.511704 4.243549, 33.502721 4.243549))",28139.0,Tropic - warm / subhumid
22,241889949,2365,South Sudan,Nzara,town,4.6443567,28.258839799999997,"POLYGON ((28.256535 4.629826, 28.256535 4.602877, 28.247551 4.602877, 28.247551 4.629826, 28.256535 4.629826, 28.256535 4.638809, 28.238568 4.638809, 28.238568 4.647793, 28.247551 4.647793, 28.247551 4.656776, 28.274501 4.656776, 28.274501 4.647793, 28.265518 4.647793, 28.265518 4.638809, 28.274501 4.638809, 28.274501 4.629826, 28.265518 4.629826, 28.256535 4.629826))",40282.0,Tropic - warm / subhumid
23,243186194,2327,South Sudan,Lobira,town,4.416007,33.05916,"POLYGON ((33.053561 4.423213, 33.071528 4.423213, 33.071528 4.414229, 33.053561 4.414229, 33.053561 4.423213))",3792.0,Tropic - warm / subhumid
24,243228365,3761,South Sudan,Alek,town,8.6700991,28.1489438,"POLYGON ((28.148736 8.681248, 28.157719 8.681248, 28.157719 8.672264, 28.148736 8.672264, 28.148736 8.663281, 28.139753 8.663281, 28.139753 8.672264, 28.148736 8.672264, 28.148736 8.681248))",2753.0,Tropic - warm / subhumid
25,243414698,2974,South Sudan,Malau_Pech,town,7.058747299999999,29.098292800000003,"POLYGON ((29.074005 7.082239, 29.082989 7.082239, 29.082989 7.073255, 29.091972 7.073255, 29.091972 7.064272, 29.100955 7.064272, 29.100955 7.055289, 29.091972 7.055289, 29.091972 7.064272, 29.082989 7.064272, 29.082989 7.073255, 29.074005 7.073255, 29.074005 7.082239))",6188.0,Tropic - warm / subhumid
26,243415643,3843,South Sudan,Maiwut,town,8.6102726,33.9241607,"POLYGON ((33.915948 8.618365000000001, 33.933914 8.618365000000001, 33.933914 8.600398999999999, 33.924931 8.600398999999999, 33.924931 8.609382, 33.915948 8.609382, 33.915948 8.618365000000001))",12774.0,Tropic - warm / subhumid
27,243425912,3814,South Sudan,Naseer,town,8.6182809,33.0613527,"POLYGON ((33.062544 8.645315, 33.071528 8.645315, 33.071528 8.636331999999999, 33.080511 8.636331999999999, 33.080511 8.609382, 33.071528 8.609382, 33.053561 8.609382, 33.053561 8.600398999999999, 33.035595 8.600398999999999, 33.035595 8.618365000000001, 33.044578 8.618365000000001, 33.044578 8.627348, 33.035595 8.627348, 33.035595 8.636331999999999, 33.053561 8.636331999999999, 33.062544 8.636331999999999, 33.062544 8.645315))",283373.0,Tropic - warm / subhumid
28,243440245,3038,South Sudan,Akak,town,9.068135,28.1157662,"POLYGON ((28.112803 9.076508, 28.121787 9.076508, 28.121787 9.067525, 28.13077 9.067525, 28.13077 9.076508, 28.139753 9.076508, 28.139753 9.067525, 28.157719 9.067525, 28.157719 9.058541999999999, 28.121787 9.058541999999999, 28.121787 9.067525, 28.112803 9.067525, 28.112803 9.076508))",7910.0,Tropic - warm / subhumid
29,243450695,2538,South Sudan,Mvolo,town,6.0297877,29.9366697,"POLYGON ((29.927409 6.031205, 29.936392 6.031205, 29.936392 6.022222, 29.927409 6.022222, 29.927409 6.031205))",2208.0,Tropic - warm / subhumid
30,243451821,2741,South Sudan,Mayom,town,9.225451,29.167257399999997,"POLYGON ((29.163837 9.238206, 29.181804 9.238206, 29.181804 9.229222999999999, 29.190787 9.229222999999999, 29.190787 9.220238999999999, 29.181804 9.220238999999999, 29.17282 9.220238999999999, 29.17282 9.211256000000001, 29.136888 9.211256000000001, 29.136888 9.220238999999999, 29.127905 9.220238999999999, 29.127905 9.229222999999999, 29.154854 9.229222999999999, 29.163837 9.229222999999999, 29.163837 9.238206))",49382.0,Tropic - warm / semiarid
31,408758685,2130,South Sudan,Morobo,town,3.6853356,30.7751244,"POLYGON ((30.762846 3.695574, 30.780813 3.695574, 30.780813 3.686591, 30.789796 3.686591, 30.789796 3.668624, 30.798779 3.668624, 30.798779 3.659641, 30.789796 3.659641, 30.789796 3.668624, 30.771829 3.668624, 30.771829 3.686591, 30.762846 3.686591, 30.762846 3.695574))",24938.0,Tropic - warm / humid
