,FID,lat,lon
0,0,-34.53208295999904,20.045415300007203
1,1,37.2685772999639,9.86587047638625
2,2,-34.20249931249811,21.58083231249813
3,3,-34.4712495,19.8912495
4,4,-34.19982082652781,22.040653826527816
5,5,-34.412915999999996,19.182916
6,6,-34.200416,18.3787495
7,7,37.251667,9.789165999999996
8,8,-34.17680494444,18.845416
9,9,-34.3170825,18.453749500000004
10,10,-34.15485784163178,18.408145207768147
11,11,37.243750260006244,10.05041581999568
12,12,-34.15265977811374,19.006954100586277
13,13,-34.1274997812514,22.107915499999994
14,14,-34.179583000003525,22.113553366773342
15,15,-33.86139861322054,18.613339367193586
16,16,-34.257360555560005,18.459304944440003
17,17,-33.92490419747491,25.553310243949575
18,18,-34.11458261999905,18.907082739998085
19,19,-34.0795825,22.162081999999998
20,20,-34.061725591836385,23.366844275509152
21,21,-34.237916000000006,18.4162495
22,22,-33.89347155555778,18.95374933332667
23,23,37.220417,9.9370825
24,24,-33.90291636000863,19.11041636000864
25,25,37.214464938772196,10.121606397959356
26,26,-34.039582859999996,23.073082243990594
27,27,37.18968769531402,10.18083287500375
28,28,-33.85291652000817,25.63541521999376
29,29,-34.037915999999996,22.207915500000002
30,30,37.195417,10.0495825
31,31,-33.84624949999999,18.832916
32,32,-34.09505838776472,20.958510520414983
33,33,37.182916750015,10.216249500000002
34,34,-33.83791599999999,20.09124900000001
35,35,37.170417,10.032916000000002
36,36,-33.97958250000001,18.8495825
37,37,-34.02680475000416,20.439860125002085
38,38,37.15375026316638,9.786205750697619
39,39,-33.80236054444342,25.592637722221106
40,40,-33.804119854937625,25.462082472220178
41,41,-33.825416,25.632915499999996
42,42,-33.97854148214585,22.46714229718902
43,43,37.1412505,10.103749500000001
44,44,-33.777201790824506,20.128153831629724
45,45,-33.918471444439994,25.442637944439994
46,46,37.137083499999996,9.816249500000001
47,47,-33.77474724484522,25.395724388892884
48,48,37.070417000000006,9.662083
49,49,-33.797291085939435,19.888645441403057
50,50,37.061158006181316,10.114860703703457
51,51,-33.93205176885567,18.86393440534763
52,52,-33.850416,24.862082500000003
53,53,37.053750200002405,11.005415919996638
54,54,-33.904582500000004,25.349582499999997
55,55,37.042440933674875,9.661487443869506
56,56,-33.73297741701827,18.976589126875595
57,57,-33.8316662812514,20.04958231250656
58,58,-33.83077325511446,24.87755881631656
59,59,-33.94624949999999,19.832916
60,60,-33.68513849999333,19.314860666673333
61,61,36.993564913571035,6.5602309969149175
62,62,-33.9337495,20.0995825
63,63,-33.80736066667333,18.367638499993337
64,64,-33.65360180277645,19.00325922491037
65,65,37.012083499999996,6.578749499999999
66,66,-34.01905653463306,24.755942307484165
67,67,-33.64121462759709,19.449582916665413
68,68,36.9662505,6.3037494999999995
69,69,-33.69624949999999,18.999582500000002
70,70,36.85424686759884,7.7133240541001244
71,71,-33.574374171876634,22.43499884375328
72,72,36.947797969379884,8.748987275512476
73,73,-34.0920825,21.253748750015
74,74,36.80637792177032,10.200701892377394
75,75,-32.97402727776889,27.806526611115558
76,76,-33.662916,19.257916
77,77,-33.9087495,20.103749
78,78,-33.5587495,18.366249500000002
79,79,-34.01013849999333,25.35930433332667
80,80,-33.5670825,18.4120825
81,81,-32.93240996332992,27.73738006568831
82,82,-32.99285431252385,27.8917121652966
83,83,-32.9545825,27.907915499999998
84,84,-32.92541599999999,27.428749000000003
85,85,-32.93236066667333,27.45652650000666
86,86,-32.912915999999996,27.50374899999999
87,87,36.932083620001926,6.580415759996161
88,88,-32.9045825,27.341248999999998
89,89,-33.59183778028559,26.886592148797327
90,90,-33.80874925,18.866249250000003
91,91,36.932917,8.795416
92,92,-32.910138255559126,17.995971922230048
93,93,-32.910832874992494,27.289165125007496
94,94,-32.88109799174004,27.3939000991631
95,95,-32.93374924999999,27.482915749999993
96,96,36.91312556250937,3.896457437501874
97,97,-32.862916000000006,27.291249
98,98,-33.996249500000005,22.616249000000003
99,99,-33.59274077909007,22.20791538158318
100,100,-32.832643691374884,27.23334072073626
101,101,-32.871249,27.2704155
102,102,-32.8295825,27.391249000000002
103,103,36.907917,10.045415999999998
104,104,-32.8448605,27.446804583338324
105,105,-33.54347144444,25.68986005556
106,106,-32.937916,28.028749
107,107,-32.91013849999333,27.44541633331334
108,108,-33.00666618750188,17.943332687501883
109,109,-32.779582500000004,26.716249000000005
110,110,36.8970835000072,7.0437492000168
111,111,-32.768818848959654,26.63986035415261
112,112,36.888170724004326,8.439256839320608
113,113,-32.57958316666666,27.888471166666662
114,114,-32.91958226000624,27.67374918000432
115,115,36.88708396875257,4.132916156244608
116,116,-32.56013841666334,27.452360249993337
117,117,36.88625056000528,4.414582920000959
118,118,-32.365416345004405,22.579165632500587
119,119,36.86108361173264,6.925304863379998
120,120,-32.33851141836386,28.141249464284186
121,121,-32.69505881631656,26.302558602040648
122,122,-32.30958294000192,18.355415880003846
123,123,-32.7962495,27.224582499999997
124,124,-32.94208274999999,27.399582249999998
125,125,-32.9212495,27.778748999999998
126,126,36.87875007142244,3.7335107346909044
127,127,-32.25837108262163,24.54617351650251
128,128,-32.58791600000001,19.012082499999998
129,129,-32.48236061111556,24.06763772223111
130,130,-32.56569397222,27.417638027780004
131,131,-32.842082500000004,27.4704155
132,132,-32.296249928577545,27.150177734690903
133,133,-32.306855574388045,28.219658202485967
134,134,-32.271249499999996,28.216249
135,135,-32.0962495,28.303749
136,136,-32.175037442147115,25.634809834704093
137,137,-31.905971770835517,26.86972119791932
138,138,-32.00249978125141,27.57874918749344
139,139,-32.18513855555777,18.88986044444222
